и,and
пьянство,drunkenness
радуга,rainbow
ресница,eyelash
ритм,rhythm
своевременный,timely
сдержанный,restrained
скотина,cattle
прогноз,forecast
тусклый,dim
удача,success
ускорение,acceleration
уступка,concession
церемония,ceremony
цирк,circus
четверг,Thursday
чудесно,wonderfully
шумно,noisily
элементарный,elementary
энергичный,energetic
энтузиазм,enthusiasm
безупречный,irreproachable
безусловный,unconditional
бесполезно,uselessly
биологический,biological
борющийся,struggling
бочка,barrel
бюджет,budget
вертикальный,vertical
возмущённо,indignantly
волевой,strong-willed
воронка,funnel
вторник,Tuesday
горох,peas
двенадцатый,twelfth
достигнутый,achieved
жар,heat
законодательный,legislative
избранный,selected
индийский,Indian
инспектор,inspector
искусственно,artificially
керосин,kerosene
колокольня,bell-tower
критик,critic
лауреат,prize-winner
любезный,obliging
любимец,favourite
миссия,mission
могущественный,powerful
мода,fashion
недовольно,discontentedly
необычайно,exceptionally
ноздря,nostril
огненный,fiery
описанный,described
оплата,payment
организованный,organized
отвратительный,repulsive
открытка,postcard
отчасти,partly
очертание,outline
петух,cock
подавляющий,overwhelming
поднос,tray
поднятый,raised
подозрительно,suspiciously
поставка,delivery
почерк,handwriting
почтённый,respected
пощада,mercy
приобретение,acquisition
противоречивый,contradictory
разлука,separation
ранее,earlier
рациональный,rational
резолюция,resolution
римский,Roman
скопление,accumulation
смертельный,fatal
собственник,owner
созданный,created
специфический,specific
стихотворение,poem
театральный,theatrical
трагедия,tragedy
тропинка,path
упор,prop
употребление,use
хаос,chaos
хрупкий,fragile
шестнадцать,sixteen
экономист,economist
авось,perhaps
актриса,actress
алый,scarlet
ангел,angel
античный,ancient
банкир,banker
бензин,petrol
блистательный,brilliant
болезненный,unhealthy
веление,command
вероятный,probable
восприятие,perception
деятельный,active
добровольный,voluntary
дружина,militia
кабина,cabin
камин,fireplace
кампания,campaign
крупинка,grain
лужа,puddle
мёд,honey
молоток,hammer
мрачно,gloomily
мысленно,mentally
незаметный,imperceptible
неизменный,invariable
неограниченный,unlimited
нервно,nervously
неустанно,tirelessly
отсталый,backward
официально,officially
поучительный,instructive
почтительно,respectfully
превосходный,superb
престол,throne
приготовление,preparation
приключение,adventure
разочарование,disappointment
распад,disintegration
рёв,roar
революционер,revolutionary
сбыт,sale
седло,saddle
скупой,miserly
совершенство,perfection
солёный,salted
страстно,passionately
страстный,passionate
табуретка,stool
тайком,secretly
творение,creation
терпение,patience
тост,toast
увы,alas!
учебник,textbook
цемент,cement
эпизод,episode
адский,hellish
аппетит,appetite
беззвучно,soundlessly
безоговорочный,unconditional
бессильный,powerless
ванна,bath
вежливый,polite
верблюд,camel
вертикально,vertically
виновник,culprit
возглас,exclamation
глобус,globe
гневный,angry
диалог,dialogue
дёшево,cheaply
дипломатия,diplomacy
забавный,amusing
запрещённый,forbidden
захватчик,invader
игла,needle
камешек,pebble
каска,helmet
клятва,oath
комедия,comedy
кубический,cubic
лев,lion
ленивый,lazy
лук,onions
микроскоп,microscope
мудрый,wise
музыкант,musician
наследство,inheritance
нейтральный,neutral
ниточка,thread
первостепенный,paramount
пирог,pie
подготовительный,preparatory
посольство,embassy
предание,legend
предрассудок,prejudice
примитивный,primitive
принц,prince
прохладный,cool
пятнадцатый,fifteenth
развивающийся,developing
рекомендация,recommendation
рог,horn
серебристый,silvery
сигара,cigar
систематически,systematically
скульптура,sculpture
снаряжение,equipment
сознательно,consciously
сокол,falcon
сотый,hundredth
соус,sauce
сочувствие,sympathy
странник,wanderer
сугроб,snowdrift
терпеливо,patiently
террор,terror
упадок,decline
ущелье,ravine
эстетический,aesthetic
аграрный,agrarian
ассоциация,association
балет,ballet
бархат,velvet
басня,fable
безумный,mad
бессонный,sleepless
бесшумно,noiselessly
бомбардировка,bombardment
велосипед,bicycle
весло,oar
включение,inclusion
вспомогательный,auxiliary
вторжение,invasion
выгодно,advantageously
вытянутый,stretched
галерея,gallery
годовщина,anniversary
действенный,effective
добровольно,voluntarily
живописный,picturesque
загорелый,suntanned
клиент,client
коварный,crafty
комбинация,combination
конкурент,competitor
копыто,hoof
критический,critical
материнский,maternal
мечтание,day-dreaming
миля,mile
минимум,minimum
мирно,peacefully
морозный,frosty
мыло,soap
насмешливый,sarcastic
невежество,ignorance
негодование,indignation
недоразумение,misunderstanding
некрасивый,ugly
неспособный,incapable
нестерпимо,unbearably
неудачный,unsuccessful
обезьяна,monkey
овёс,oats
организационный,organizational
осёл,donkey
отчество,patronymic
парламент,parliament
парус,sail
племянник,nephew
подчинённый,subordinate
поставщик,supplier
поцелуй,kiss
привлекательный,attractive
призрак,ghost
прорыв,breach
разногласие,disagreement
рваный,torn
рычаг,lever
санаторий,sanatorium
сближение,rapprochement
систематический,systematic
скрипка,violin
служебный,working
смирный,docile
срам,shame
трагический,tragic
тропа,path
туманный,misty
турецкий,Turkish
увольнение,dismissal
умело,skilfully
фонтан,fountain
формально,formally
хулиган,hooligan
чаща,thicket
что-либо,anything
шерстяной,woollen
аналогичный,analogous
арифметика,arithmetic
арсенал,arsenal
атеист,atheist
бандит,bandit
беззаветный,selfless
безнадёжно,hopelessly
безработный,unemployed
белизна,whiteness
беспомощный,helpless
беспощадно,mercilessly
брошенный,abandoned
бывалый,experienced
вдохновенный,inspired
вежливо,politely
визг,scream
виновный,guilty
воплощение,embodiment
восходящий,rising
всенародный,national
вывеска,signboard
гарнизон,garrison
гордо,proudly
грива,mane
грозно,threateningly
дельный,businesslike
демократизация,democratization
довоенный,prewar
досуг,leisure
жутко,dreadfully
завоёванный,conquered
зеленоватый,greenish
землетрясение,earthquake
знающий,knowledgeable
золочёный,gilded
интонация,intonation
искусно,skilfully
искусный,skilful
капуста,cabbage
квалификация,qualification
клён,maple
конверт,envelope
кооператив,cooperative
копия,copy
критически,critically
лукавый,sly
люстра,chandelier
лютый,fierce
мачта,mast
мороженое,ice-cream
мусор,litter
мыслящий,thinking
наказание,punishment
обещание,promise
объективно,objectively
океанский,oceanic
опасение,fear
освещённый,illuminated
отблеск,reflection
отпечаток,imprint
пазуха,bosom
партнёр,partner
перегородка,partition
переулок,lane
пила,saw
пирамида,pyramid
пламенный,burning
плач,weeping
подавление,suppression
подозрение,suspicion
поза,pose
порох,gunpowder
потрясение,shock
прах,dust
предшественник,predecessor
пресловутый,notorious
приветствие,greeting
приличный,decent
принятый,accepted
прославленный,renowned
прощение,pardon
публичный,public
роса,dew
самодержавие,autocracy
свисток,whistle
семейство,family
сирена,siren
мышца,muscle
соблюдение,observance
содействие,assistance
соответственно,correspondingly
специализация,specialization
стимулирование,stimulation
стратегический,strategic
суверенитет,sovereignty
сук,bough
такси,taxi
толща,thickness
трактир,inn
трибунал,tribunal
удобство,convenience
могила,grave
умно,intelligently
упрямый,stubborn
хитро,cunningly
холостой,unmarried
шпион,spy
аристократический,aristocratic
ассамблея,assembly
багровый,crimson
барометр,barometer
барьер,barrier
безнадёжный,hopeless
безымянный,nameless
белорусский,Belorussian
береговой,coastal
бесстрашие,fearlessness
благой,good
верховой,riding
вечеринка,party
воспитательный,educational
вращение,rotation
вторично,secondarily
гарантия,guarantee
гараж,garage
директива,directive
дымка,haze
дыра,hole
жильё,accommodation
забавно,amusingly
зарево,glow
защитный,protective
знаменательный,significant
золотистый,golden
извержение,eruption
изменник,traitor
изумление,amazement
кислый,sour
клоп,bedbug
косвенный,oblique
котёл,boiler
кузнец,blacksmith
кукушка,cuckoo
легкомысленный,frivolous
лживый,mendacious
логический,logical
мнимый,imaginary
напиток,drink
напор,pressure
нарастающий,growing
насос,pump
нашествие,invasion
невероятно,improbably
невинный,innocent
неграмотный,illiterate
недоуменно,uncomprehendingly
немыслимо,unthinkably
неохотно,unwillingly
неразрывно,inseparably
несправедливый,unjust
неуверенно,uncertainly
нехороший,bad
неясно,unclearly
объявление,announcement
объятие,embrace
осуждение,condemnation
отвращение,disgust
парад,parade
повреждение,damage
поднятие,raising
подробный,detailed
позорный,disgraceful
покорный,humble
понижение,lowering
послевоенный,postwar
поспешно,hastily
потомок,descendant
предчувствие,presentiment
прелестный,charming
престиж,prestige
пригодный,useful
прилично,decently
продовольствие,provisions
промышленник,industrialist
развалина,ruin
раздражение,irritation
разумно,sensibly
рассеянно,absent-mindedly
родство,kinship
сжатый,compressed
скверный,lousy
сколь,so
слон,elephant
смущение,embarrassment
снежинка,snowflake
созидательный,creative
соотношение,correlation
сопровождение,accompaniment
старомодный,old-fashioned
таблетка,pill
тайно,secretly
теплица,hothouse
тропический,tropical
удивлённый,surprised
указ,decree
унижение,humiliation
ураган,hurricane
формальный,formal
характерно,characteristically
хмурый,gloomy
храбрый,brave
шанс,chance
шёлк,silk
щедро,generously
энергично,energetically
энтузиаст,enthusiast
юмор,humour
юношеский,youthful
амнистия,amnesty
асфальт,asphalt
аэропорт,airport
баррикада,barricade
безразлично,indifferently
бесповоротно,irreversibly
бесцеремонно,unceremoniously
благородство,nobility
блаженный,blessed
брезгливо,squeamishly
бронза,bronze
валун,boulder
варежка,mitten
ветчина,ham
взаимно,mutually
виновато,guiltily
внешне,outwardly
возражение,objection
вступление,introduction
выносливый,resilient
гармонический,harmonious
гладко,smoothly
голубоватый,light-bluish
гуманный,humane
добавка,addition
дополнительно,additionally
доставка,delivery
душно,stuffy
забава,amusement
завеса,screen
зажиточный,well-off
закупка,purchase
змея,snake
иронически,ironically
искренно,sincerely
исходный,initial
каблук,heel
канава,ditch
кандидатура,candidature
капризный,capricious
кара,punishment
категорически,categorically
косынка,headscarf
кофта,blouse
крошечный,tiny
крылатый,winged
ломка,breaking
лохматый,shaggy
лыжник,skier
мамочка,mummy
математик,mathematician
меньшинство,minority
метла,broom
миллионер,millionaire
милостыня,alms
модный,fashionable
мускул,muscle
мучительно,excruciatingly
наследник,heir
невыносимый,intolerable
неизмеримо,immeasurably
неторопливо,unhurriedly
неторопливый,unhurried
неуловимый,elusive
обилие,abundance
ограничение,limitation
ожерелье,necklace
оккупация,occupation
орёл,eagle
отход,departure
парашют,parachute
передвижение,movement
персонаж,character
персональный,personal
побеждённый,defeated
повестка,notification
повторный,repeated
повязка,bandage
погоня,pursuit
подол,hem
подтверждение,confirmation
полено,log
полуостров,peninsula
порабощение,enslavement
постепенный,gradual
похвала,praise
приближение,approach
примечательный,noteworthy
равноправие,equality
развлечение,entertainment
расписка,receipt
распорядок,routine
репортаж,reporting
реставрация,restoration
свержение,overthrow
сигарета,cigarette
скачок,leap
скверно,badly
словесный,verbal
сложившийся,developed
сокровищница,treasure-house
сонный,sleepy
сороковой,fortieth
спальня,bedroom
спящий,sleeping
средневековый,medieval
сумрак,dusk
суп,soup
сушёный,dried
сюрприз,surprise
таинственно,mysteriously
телескоп,telescope
трезвый,sober
трон,throne
тщеславие,vanity
убогий,wretched
удачно,successfully
хлам,junk
хорошенький,pretty
худощавый,thin
цельный,entire
цыплёнок,chicken
череп,skull
чулок,stocking
шелест,rustling
штраф,fine
щедрый,generous
экономически,economically
эхо,echo
яд,poison
яростно,furiously
арка,arch
археолог,archaeologist
афоризм,aphorism
безграничный,limitless
безделье,idleness
безжалостный,pitiless
безопасный,safe
барак,hut
белка,squirrel
блин,pancake
биология,biology
блестяще,brilliantly
вдохновение,inspiration
веер,fan
вертолёт,helicopter
виноград,grapes
водоём,reservoir
возмездие,retribution
волосатый,hairy
восторженно,enthusiastically
восход,rise
всесторонне,thoroughly
всплеск,splash
в-четвёртых,fourthly
выразительный,expressive
вьюга,snowstorm
гениальный,brilliant
горизонтальный,horizontal
горожанин,town-dweller
гостеприимство,hospitality
грипп,influenza
грузинский,Georgian
декларация,declaration
добродушный,good-natured
добротный,high-quality
жук,beetle
журналистика,journalism
зависимый,dependent
заграничный,foreign
запоздалый,belated
измена,betrayal
инвалид,invalid
иней,hoar-frost
испуг,fright
канун,eve
квадрат,square
колея,rut
колпак,cap
конкуренция,competition
контролёр,inspector
кошмар,nightmare
кратко,briefly
лабиринт,labyrinth
легендарный,legendary
литр,litre
массивный,massive
матрос,sailor
медикамент,medicine
меч,sword
многообразие,diversity
морально,morally
москвич,Muscovite
мохнатый,shaggy
мучительный,excruciating
наивно,naively
насекомое,insect
наспех,hastily
негр,negro
нейтралитет,neutrality
неотложный,urgent
неслыханный,unprecedented
несметный,countless
новорождённый,new-born
однообразный,monotonous
окаянный,cursed
осмотр,inspection
отвлечённый,abstract
пенсионер,pensioner
паёк,ration
поверхностный,superficial
подлинно,genuinely
полушарие,hemisphere
порция,portion
празднование,celebration
преданный,devoted
предвидение,foresight
предельно,maximally
привлечение,attraction
проникновение,penetration
пытка,torture
равнодушие,indifference
раскрытый,wide-open
расовый,racial
свирепый,ferocious
символ,symbol
символический,symbolic
скудный,meagre
творец,creator
толкование,interpretation
тридцатый,thirtieth
угрожающий,threatening
украдкой,stealthily
утрата,loss
уютный,cosy
фаза,phase
федерация,federation
хвойный,coniferous
централизованный,centralized
цитата,quotation
частичный,partial
чувствительный,sensitive
чума,plague
шведский,Swedish
шорох,rustle
щётка,brush
этикетка,label
юрист,lawyer
явственно,clearly
ягода,berry
аналогия,analogy
балтийский,Baltic
бас,bass
безгранично,infinitely
бездомный,homeless
безмерно,immensely
бессонница,insomnia
библейский,biblical
благословение,blessing
богатырский,heroic
божественный,divine
вена,vein
бюрократ,bureaucrat
ведьма,witch
великолепие,magnificence
вишня,cherry
влиятельный,influential
воинственный,warlike
выяснение,explanation
гармония,harmony
героизм,heroism
гибкий,flexible
гипотеза,hypothesis
голосование,voting
детальный,detailed
добросовестно,conscientiously
драматический,dramatic
душный,stuffy
желтоватый,yellowish
зёрнышко,grain
излюбленный,favourite
иллюминатор,porthole
ископаемые,minerals
исправление,correction
истерика,hysterics
исчерпывающий,exhaustive
итальянец,Italian
клиника,clinic
коза,goat
колючий,prickly
комар,mosquito
комбинезон,overalls
котёнок,kitten
красноватый,reddish
крошка,crumb
культ,cult
лайнер,liner
лёгкое,lung
лениво,lazily
машинально,mechanically
многообразный,diverse
монумент,monument
морщинка,wrinkle
навоз,manure
научно,scientifically
незабываемый,unforgettable
немыслимый,unthinkable
непобедимый,invincible
неполный,incomplete
непреодолимый,insurmountable
неутомимый,tireless
облачный,cloudy
обнажённый,naked
обобщение,generalization
одновременный,simultaneous
окрестный,surrounding
опровержение,refutation
опущенный,lowered
осложнение,complication
оставшийся,remaining
остроумный,witty
отбор,selection
отрицание,negation
ощутимый,perceptible
панорама,panorama
парламентский,parliamentary
паутина,cobweb
первоначально,originally
переделка,alteration
перекрёсток,crossroads
пирожок,pie
плавно,smoothly
плавучий,floating
плодотворный,fruitful
повествование,narration
подозрительный,suspicious
по-другому,differently
подчас,sometimes
поединок,duel
полированный,polished
политбюро,Politburo
политически,politically
положительно,positively
помеха,hindrance
понедельник,Monday
посредство,mediation
преграда,obstacle
предисловие,foreword
предотвращение,prevention
приз,prize
примета,sign
причёска,hairstyle
процедура,procedure
пульс,pulse
радикальный,radical
разбег,run
разбой,banditry
реализм,realism
регулярно,regularly
регулярный,regular
ржавый,rusty
роковой,fateful
роскошный,luxurious
самоотверженный,self-sacrificing
секция,section
смущённый,embarrassed
совпадение,coincidence
сплочённый,united
стон,groan
стоп,stop!
таракан,cockroach
тахта,divan
терпеливый,patient
торговец,trader
тоскливо,drearily
требовательный,demanding
тренировка,training
трусливый,cowardly
тряпьё,rags
укоризненно,reproachfully
уместно,appropriately
умысел,intention
управляемый,controlled
усиленно,intensively
уютно,cosily
фальшивый,false
фарфор,porcelain
фасад,fa?ade
христианский,Christian
хромой,lame
худший,worst
чудовище,monster
шахтёр,miner
шестнадцатый,sixteenth
авантюрист,adventurer
аргумент,argument
астрономия,astronomy
базис,basis
бар,bar
башмак,shoe
безвестный,unknown
безграмотный,illiterate
бездельник,idler
бездонный,bottomless
берёт,beret
бесстрашно,fearlessly
биолог,biologist
близорукий,short-sighted
богато,richly
бойня,slaughter-house
ввысь,upwards
венский,Viennese
версия,version
вестник,messenger
взятка,bribe
вкусно,tasty
властно,imperiously
возбуждённо,excitedly
восемнадцатый,eighteenth
вражда,enmity
враждебно,hostilely
врозь,separately
всероссийский,all-Russian
выплата,payment
геройство,heroism
гимнастика,gymnastics
девятнадцатый,nineteenth
делец,wheeler-dealer
доисторический,prehistoric
досадно,annoying
дымный,smoky
дымчатый,smoke-coloured
дьякон,deacon
жгучий,burning
жёрнов,millstone
забвение,oblivion
заботливо,solicitously
загар,suntan
загрузка,loading
задержка,delay
западня,trap
земледельческий,agricultural
злодей,villain
идеализм,idealism
буржуазия,bourgeoisie
сосуд,vessel
монополия,monopoly
чайка,seagull
консул,consul
австрйец,Austrian
австрийский,Austrian
майор,major
углерод,carbon
колониальный,colonial
шарф,scarf
специализированный,specialized
эксперт,expert
араб,Arab
беженец,refugee
всадник,horseman
монархия,monarchy
облигация,bond
вальс,waltz
астроном,astronomer
концентрация,concentration
электронный,electronic
ячейка,cell
артиллерист,gunner
сосуществование,coexistence
терраса,terrace
вселённая,universe
скептик,sceptic
светящийся,luminous
плуг,plough
ширма,screen
спекулянт,speculator
гранит,granite
кролик,rabbit
монументальный,monumental
водород,hydrogen
футбол,football
потребление,consumption
республиканский,republican
кратер,crater
атмосферный,atmospheric
руда,ore
кукуруза,maize
лирический,lyrical
серный,sulphuric
фланг,flank
египетский,Egyptian
контрреволюция,counter-revolution
линза,lens
буфетчик,barman
металлургический,metallurgical
обсерватория,observatory
платёж,payment
агитатор,agitator
альпийский,alpine
изумруд,emerald
проектирование,planning
устный,oral
механика,mechanics
павильон,pavilion
скульптор,sculptor
штык,bayonet
альбом,album
девальвация,devaluation
субъективный,subjective
вожжа,rein
древесина,timber
комета,comet
перевозка,transportation
сера,sulphur
дотация,subsidy
жилетка,waistcoat
заболевание,illness
инспекция,inspection
коллективизация,collectivization
кооперация,cooperation
лишение,deprivation
феномен,phenomenon
упрочение,strengthening
уран,uranium
география,geography
конюшня,stable
лягушка,frog
металлургия,metallurgy
отрез,cut
перемирие,truce
плот,raft
принуждение,compulsion
прирост,increase
реактивный,jet-propelled
рюкзак,rucksack
синтетический,synthetic
сострадание,compassion
китаец,Chinaman
математический,mathematical
микрофон,microphone
пират,pirate
поваренный,culinary
пурга,blizzard
репортёр,reporter
шотландский,Scottish
шпага,sword
эволюция,evolution
экватор,equator
ягнёнок,lamb
антисемитизм,antisemitism
боб,bean
булавка,pin
воззвание,appeal
дебют,debut
хозрасчёт,self-financing
новатор,innovator
оптимальный,optimal
остов,framework
отсек,compartment
скула,cheekbone
резьба,carving
социал-демократический,social-democratic
туалет,toilet
футболист,footballer
шовинизм,chauvinism
атеистический,atheistic
гипсовый,plaster
застенок,torture-chamber
композиция,composition
координация,coordination
кочка,hummock
ледниковый,glacial
мозаика,mosaic
обновление,renovation
расписание,timetable
сажа,soot
светило,luminary
слива,plum
сношение,intercourse
туша,carcass
утопический,utopian
чудный,wonderful
фара,headlamp
шов,seam
шрам,scar
азот,nitrogen
аристократ,aristocrat
бес,demon
беседка,summer-house
брошка,brooch
вишь,look!
водопровод,water-pipe
кинотеатр,cinema
губернатор,governor
дворянство,gentry
диктатор,dictator
военно-морской,naval
жилка,vein
испарение,evaporation
тюк,bale
конус,cone
крепостничество,serfdom
максимум,maximum
машинистка,typist
ориентация,orientation
победоносный,victorious
полковой,regimental
репродукция,reproduction
рукоятка,handle
серп,sickle
соприкосновение,contact
сплав,alloy
сыр,cheese
термометр,thermometer
транспортировка,transportation
уцелевший,surviving
имение,estate
инстинкт,instinct
интенсивный,intensive
казарма,barracks
капкан,trap
карьерист,careerist
кастрюля,saucepan
кинжал,dagger
клинок,blade
клоун,clown
коммерческий,commercial
коллекционер,collector
колодец,well
колючка,prickle
конвой,escort
копчёный,smoked
копьё,spear
королёвский,royal
коммунальный,communal
космонавт,cosmonaut
краб,crab
крымский,Crimean
кудрявый,curly
лавина,avalanche
лампада,icon-lamp
ландшафт,landscape
легкомыслие,thoughtlessness
ловля,catching
ложный,false
люлька,cradle
магнит,magnet
маятник,pendulum
медлительный,slow
метко,accurately
мираж,mirage
миф,myth
многовековой,centuries-old
мобилизация,mobilization
морщина,wrinkle
мох,moss
муравей,ant
мысленный,mental
наглый,impudent
наёмник,mercenary
населённый,inhabited
неблагоприятный,unfavourable
невесёлый,joyless
невзрачный,unattractive
незаменимый,irreplaceable
неминуемо,inevitably
необозримый,immense
необычно,unusually
неосторожный,careless
непоправимый,irreparable
непременный,indispensable
неприлично,indecently
неравномерный,irregular
несложный,uncomplicated
несомненный,undoubted
нетронутый,untouched
неустойчивый,unstable
неприемлемый,unacceptable
нудный,tedious
обиженный,offended
обречённый,doomed
обстрел,bombardment
обыденный,ordinary
оскорбительный,insulting
ослепительный,dazzling
островок,islet
отвага,courage
отвесный,steep
отклик,response
отрывок,excerpt
ошибочный,mistaken
панихида,requiem
паром,ferry
пассивный,passive
певец,singer
пепельница,ashtray
переработка,reworking
персидский,Persian
пленительный,captivating
погрузка,loading
половица,floorboard
полый,hollow
потемневший,darkened
потомственный,hereditary
почтальон,postman
почтение,respect
предок,ancestor
предсказание,prediction
пригород,suburb
приподнятый,elated
прозвище,nickname
прокат,hire
проклятие,curse
пронзительный,penetrating
простительно,pardonably
публикация,publication
разъяснение,explanation
расстроенный,upset
репрессия,repression
рукопожатие,handshake
садовод,gardener
самоубийство,suicide
сахарный,sugary
свёкла,beet
сгорание,combustion
сдвинутый,shifted
свитер,sweater
сектор,sector
сибиряк,Siberian
сито,sieve
сковородка,frying-pan
славянский,Slavonic
сорняк,weed
спекуляция,speculation
спешный,urgent
стратегия,strategy
суеверный,superstitious
сюртук,frock-coat
тактический,tactical
тара,packaging
творчески,creatively
телёнок,calf
теоретически,theoretically
тигр,tiger
томительный,tiresome
торт,cake
треугольник,triangle
тринадцать,thirteen
тщательный,thorough
удаление,removal
уклончиво,evasively
укор,reproach
умелый,skilful
факел,torch
фактический,actual
фермер,farmer
физически,physically
флейта,flute
хрипло,hoarsely
хриплый,hoarse
частично,partially
чудно,wonderfully
чуткий,sensitive
шампанское,champagne
щёлка,chink
щит,shield
эстрада,stage
этика,ethics
ад,hell
аккорд,chord
активизация,activization
апельсин,orange
апостол,apostle
ассигнование,allocation
бездушный,heartless
беззаветно,selflessly
безмолвно,silently
безуспешно,unsuccessfully
бесстыдно,shamelessly
бизнесмен,businessman
благополучный,successful
блаженство,bliss
допустимый,permissible
браслет,bracelet
брожение,ferment
броня,armour-plating
будка,booth
буквальный,literal
бухгалтер,bookkeeper
бюрократический,bureaucratic
бюрократия,bureaucracy
весомый,weighty
виноградник,vineyard
долгосрочный,long-term
вице-президент,vice-president
внушительно,impressively
водопад,waterfall
воедино,together
вол,ox
воровство,stealing
ворона,crow
вульгарный,vulgar
выжидательно,expectantly
высококачественный,high-quality
геройский,heroic
годный,suitable
голландский,Dutch
горчица,mustard
губительный,destructive
доверительно,confidentially
доверчивый,trusting
доктрина,doctrine
достоверный,reliable
доярка,milkmaid
дьявольски,devilishly
единодушно,unanimously
загадочно,mysteriously
заокеанский,transoceanic
запрет,ban
заросший,overgrown
застенчивый,shy
импортный,imported
идиллия,idyll
идол,idol
излишне,excessively
иллюстрация,illustration
инерция,inertia
иностранец,foreigner
иронический,ironical
искание,search
истерия,hysteria
исток,source
истребление,extermination
каприз,caprice
каучук,rubber
кверху,upwards
кит,whale
кладка,laying
клетчатый,checked
климатический,climatic
кобыла,mare
контрреволюционер,counter-revolutionary
королева,queen
корона,crown
кружево,lace
легальный,legal
ледник,glacier
лесоруб,lumberjack
лимон,lemon
лиса,fox
мех,fur
механизированный,mechanized
механически,mechanically
микроб,microbe
многозначительно,meaningfully
молот,hammer
мольба,entreaty
монархический,monarchic
мотоцикл,motorcycle
мошенник,swindler
навес,awning
наёмный,hired
наследственный,inherited
небосклон,horizon
невольный,involuntary
недостойный,unworthy
незаконно,illegally
нездоровый,unhealthy
непостижимый,incomprehensible
неправый,wrong
несравненно,incomparably
нетерпеливый,impatient
неудачно,unsuccessfully
ничтожество,nonentity
нора,burrow
ноша,burden
община,community
овация,ovation
огорчение,distress
одиннадцатый,eleventh
озлобленный,embittered
оказание,rendering
опоздание,lateness
отопление,heating
перец,pepper
персона,person
плачущий,tearful
пляска,dance
подоконник,window-sill
полосатый,striped
попутчик,fellow-traveller
поровну,equally
превосходно,splendidly
пригородный,suburban
приёмная,waiting-room
примирение,reconciliation
промежуточный,intermediate
пропорциональный,proportional
пчела,bee
пшено,millet
пята,heel
разнородный,heterogeneous
расизм,racism
расстройство,disorder
реалистический,realistic
ревнивый,jealous
решето,sieve
рогожа,matting
самокритика,self-criticism
самосознание,self-awareness
сенсация,sensation
серийный,serial
синяк,bruise
скалистый,rocky
скромно,modestly
смешок,chuckle
соотечественник,compatriot
сорока,magpie
сосулька,icicle
спешка,haste
стекольщик,glazier
стойко,steadfastly
сука,bitch
сукно,cloth
тайник,hiding-place
территориальный,territorial
титул,title
тиф,typhus
трезво,soberly
триумф,triumph
тугой,tight
турок,Turk
увесистый,weighty
упрямство,obstinacy
уха,fish-soup
финиш,finish
финский,Finnish
хирург,surgeon
христианство,Christianity
целесообразный,expedient
целеустремлённый,purposeful
цивилизованный,civilized
цыган,gypsy
чередование,alternation
чрезмерно,excessively
шаткий,unsteady
швейный,sewing
шпора,spur
штаб-квартира,headquarters
щенок,puppy
электроника,electronics
автономный,autonomous
азбука,alphabet
акула,shark
аренда,lease
бабочка,butterfly
багаж,luggage
бдительный,vigilant
безответственный,irresponsible
бинт,bandage
блоха,flea
бритва,razor
величавый,majestic
виселица,gallows
воск,wax
гнусный,vile
горб,hump
гусеница,caterpillar
домысел,conjecture
душистый,fragrant
евангелие,gospel
еврей,Jew
единогласно,unanimously
ёж,hedgehog
жанр,genre
жемчужина,pearl
жуткий,terrible
заём,loan
зонтик,umbrella
ива,willow
искушение,temptation
квитанция,receipt
клей,glue
клумба,flower-bed
коврик,rug
красноречие,eloquence
кумир,idol
кутёж,drinking-bout
лак,varnish
ласточка,swallow
лезвие,blade
лестный,flattering
лицемерие,hypocrisy
миска,bowl
мятеж,rebellion
нарекание,reprimand
незваный,uninvited
незыблемый,unshakable
неистовый,frenzied
несовместимый,incompatible
обаяние,charm
отменный,excellent
пасынок,stepson
пир,feast
пластмасса,plastic
пляж,beach
позитивный,positive
поклонник,admirer
половой,sexual
поместье,estate
помидор,tomato
поросёнок,piglet
портной,tailor
пословица,proverb
послушный,obedient
похмелье,hangover
прадед,great-grandfather
предосудительный,reprehensible
приемлемый,acceptable
признательный,grateful
пролив,strait
просо,millet
пруд,pond
развод,divorce
разительный,striking
раскаяние,repentance
селёдка,herring
сквозняк,draught
скорлупа,shell
слюна,saliva
смета,estimate
соловей,nightingale
талон,coupon
умеренный,moderate
утечка,leak
фея,fairy
шествие,procession
этажерка,bookcase
